,id,manufacturer,company_location,year_reviewed,bar_name,cocoa_percent,rating
0,2454,5150,U.S.A.,2019,"Kokoa Kamili, batch 1",76.0,3.25
1,2458,5150,U.S.A.,2019,"Zorzal, batch 1",76.0,3.5
2,2454,5150,U.S.A.,2019,"Bejofo Estate, batch 1",76.0,3.75
3,2542,5150,U.S.A.,2021,"Matasawalevu, batch 1",68.0,3.0
4,2546,5150,U.S.A.,2021,"Sur del Lago, batch 1",72.0,3.0
5,2546,5150,U.S.A.,2021,"Semuliki Forest, batch 1",80.0,3.25
6,2542,5150,U.S.A.,2021,"Anamalai, batch 1",68.0,3.5
7,797,A. Morin,France,2012,Bolivia,70.0,3.5
8,797,A. Morin,France,2012,Peru,63.0,3.75
9,1011,A. Morin,France,2013,Panama,70.0,2.75
10,1015,A. Morin,France,2013,Colombie,70.0,2.75
11,1011,A. Morin,France,2013,"Madagascar, Criollo",70.0,3.0
12,1015,A. Morin,France,2013,Birmanie,70.0,3.0
13,1011,A. Morin,France,2013,Brazil,70.0,3.25
14,1015,A. Morin,France,2013,Papua New Guinea,70.0,3.25
15,1019,A. Morin,France,2013,Piura,70.0,3.25
16,1019,A. Morin,France,2013,Chanchamayo Province,70.0,3.5
17,1011,A. Morin,France,2013,Equateur,70.0,3.75
18,1015,A. Morin,France,2013,Chuao,70.0,4.0
19,1019,A. Morin,France,2013,Chanchamayo Province,63.0,4.0
20,1315,A. Morin,France,2014,"Carenero, Criollo",70.0,2.75
21,1315,A. Morin,France,2014,Cuba,70.0,3.5
22,1315,A. Morin,France,2014,"Sur del Lago, Criollo",70.0,3.5
23,1319,A. Morin,France,2014,"Puerto Cabello, Criollo",70.0,3.75
24,1319,A. Morin,France,2014,Pablino,70.0,4.0
25,1676,A. Morin,France,2015,Kpime,70.0,2.75
26,1676,A. Morin,France,2015,Atsane,70.0,3.0
27,1680,A. Morin,France,2015,Akata,70.0,3.5
28,1704,A. Morin,France,2015,Quilla,70.0,3.5
29,1876,A. Morin,France,2016,Agua Grande,63.0,3.75
